GQ Electronics LLC, GMC Data Viewer,Version 2.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Time,Type,uSv/h,CPM,#1(CPS),#2(CPS),#3(CPS),#4(CPS),#5(CPS),#6(CPS),#7(CPS),#8(CPS),#9(CPS),#10(CPS),#11(CPS),#12(CPS),#13(CPS),#14(CPS),#15(CPS),#16(CPS),#17(CPS),#18(CPS),#19(CPS),#20(CPS),#21(CPS),#22(CPS),#23(CPS),#24(CPS),#25(CPS),#26(CPS),#27(CPS),#28(CPS),#29(CPS),#30(CPS),#31(CPS),#32(CPS),#33(CPS),#34(CPS),#35(CPS),#36(CPS),#37(CPS),#38(CPS),#39(CPS),#40(CPS),#41(CPS),#42(CPS),#43(CPS),#44(CPS),#45(CPS),#46(CPS),#47(CPS),#48(CPS),#49(CPS),#50(CPS),#51(CPS),#52(CPS),#53(CPS),#54(CPS),#55(CPS),#56(CPS),#57(CPS),#58(CPS),#59(CPS),#60(CPS)
11/4/2019 18:25,Every Second,0.123,19,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0
11/4/2019 18:26,Every Second,0.234,36,0,0,1,0,0,2,1,1,2,1,0,0,1,0,2,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,2,1,1,1,0,2,0,0,1,0,2,0,1,0,0,1,1,1,0,1,0,0
11/4/2019 18:27,Every Second,0.117,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,2,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11/4/2019 18:28,Every Second,0.117,18,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0
11/4/2019 18:29,Every Second,0.176,27,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,1,1,2,0,1,0,0
11/4/2019 18:30,Every Second,0.13,20,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,1,1
11/4/2019 18:31,Every Second,0.156,24,1,0,1,3,0,1,1,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
11/4/2019 18:32,Every Second,0.162,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2,0,1,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,1,1,2,1,0,0,1,1,0
11/4/2019 18:33,Every Second,0.123,19,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
11/4/2019 18:34,Every Second,0.123,19,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,1
11/4/2019 18:35,Every Second,0.123,19,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
11/4/2019 18:36,Every Second,0.143,22,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,2,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
11/4/2019 18:37,Every Second,0.156,24,0,0,2,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,1,1,0,2,2,0,2
11/4/2019 18:38,Every Second,0.137,21,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,2
11/4/2019 18:39,Every Second,0.214,33,0,0,1,1,2,0,1,1,0,0,1,0,0,0,0,2,1,1,1,1,0,0,1,0,2,1,0,0,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,2,0,0,1,0
11/4/2019 18:40,Every Second,0.189,29,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,2,0,0,0,1,2,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,3,1,0,1,2,1,1,1,1,1,0
